ImmutableMultiDict([('phrase', 'hola'), ('letters', 'aeiou')])|127.0.0.1|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.4 Safari/605.1.15|{'a', 'o'}
ImmutableMultiDict([('phrase', 'gracias'), ('letters', 'aeiou')])|127.0.0.1|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.4 Safari/605.1.15|{'a', 'i'}
ImmutableMultiDict([('phrase', 'bienvenidos'), ('letters', 'aeiou')])|127.0.0.1|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.4 Safari/605.1.15|{'e', 'i', 'o'}
ImmutableMultiDict([('phrase', 'sounder'), ('letters', 'aeiou')])|127.0.0.1|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.4 Safari/605.1.15|{'u', 'o', 'e'}
ImmutableMultiDict([('phrase', 'fjeioawfjoawejf'), ('letters', 'aeiou')])|127.0.0.1|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.4 Safari/605.1.15|{'e', 'a', 'i', 'o'}
ImmutableMultiDict([('phrase', 'a quick brown fox jumped over the fence'), ('letters', 'ajfdoiuvn')])|127.0.0.1|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.4 Safari/605.1.15|{'n', 'a', 'd', 'i', 'j', 'v', 'o', 'u', 'f'}
ImmutableMultiDict([('phrase', 'a quick brown fox jumped over the fence'), ('letters', 'ajfdoiuvn')])|127.0.0.1|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.4 Safari/605.1.15|{'n', 'a', 'd', 'i', 'j', 'v', 'o', 'u', 'f'}
ImmutableMultiDict([('phrase', 'a quick brown fox jumped over the fence'), ('letters', 'fhyrtujf')])|127.0.0.1|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.4 Safari/605.1.15|{'r', 'j', 't', 'h', 'u', 'f'}
ImmutableMultiDict([('phrase', 'a quick brown fox jumped over the fence'), ('letters', 'zzzzz')])|127.0.0.1|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.4 Safari/605.1.15|set()
ImmutableMultiDict([('phrase', 'a quick brown fox jumped over the fence'), ('letters', 'jfsdjfskdjfsdjfsdkjfdslkfjdshfiueurwurwfhnvzjoisurwyldkshdj')])|127.0.0.1|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.4 Safari/605.1.15|{'n', 'd', 'i', 'r', 'k', 'w', 'j', 'e', 'v', 'o', 'h', 'u', 'f'}
ImmutableMultiDict([('phrase', 'Apple'), ('letters', 'ajfdoiuvn')])|127.0.0.1|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.4 Safari/605.1.15|{'a'}
